PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Fred VanVleet(25764723),Gary Trent Jr.(25765016),Saddiq Bey(25764926),Chris Boucher(25765003),Myles Turner(25764714),Jrue Holiday(25764659),Lauri Markkanen(25764636),Cameron Johnson(25764877),49900.0,249.47
Immanuel Quickley(25765089),Gary Trent Jr.(25765016),Buddy Hield(25764804),Julius Randle(25764662),Johhny (25764556),Ayo Dosunmu(25765217),Andrew Wiggins(25764736),Mike Conley(25764870),49900.0,256.98
Fred VanVleet(25764723),Cole Anthony(25764885),Jaden McDaniels(25765033),Chris Boucher(25765003),Pascal Siakam(25764586),Ayo Dosunmu(25765217),Julius Randle(25764662),Myles Turner(25764714),49900.0,254.15
Ayo Dosunmu(25765217),CJ McCollum(25764689),Saddiq Bey(25764926),Cameron Johnson(25764877),Clint Capela(25764756),Jevon Carter(25765133),Mikal Bridges(25764758),Johhny (25764556),50000.0,248.21
Dennis Smith Jr.(25764943),OG Anunoby(25764701),Paolo Banchero(25764670),Jaden McDaniels(25765033),Larry Nance Jr.(25765151),Cameron Payne(25764791),Lauri Markkanen(25764636),Rudy Gobert(25764708),49900.0,242.64
Shai Gilgeous-Alexander(25764576),Seth Curry(25765220),Jaden McDaniels(25765033),Aleksej Pokusevski(25765073),Clint Capela(25764756),Cameron Payne(25764791),Andrew Wiggins(25764736),Chris Paul(25764698),49900.0,239.62
Ayo Dosunmu(25765217),CJ McCollum(25764689),Saddiq Bey(25764926),Chris Boucher(25765003),Johhny (25764556),Tyrese Haliburton(25764595),Jalen Smith(25764940),Nick Richards(25765160),50000.0,253.46
Jalen Brunson(25764726),Seth Curry(25765220),Mikal Bridges(25764758),Aleksej Pokusevski(25765073),Clint Capela(25764756),Shai Gilgeous-Alexander(25764576),Cameron Johnson(25764877),Mike Conley(25764870),50000.0,244.48
Dejounte Murray(25764598),Seth Curry(25765220),Andrew Wiggins(25764736),John Collins(25764866),Andre Drummond(25765267),Kyrie Irving(25764626),Jalen Smith(25764940),Jrue Holiday(25764659),49900.0,246.45
Jrue Holiday(25764659),Seth Curry(25765220),LeBron James(25764572),Julius Randle(25764662),Clint Capela(25764756),Aaron Wiggins(25765759),Larry Nance Jr.(25765151),Myles Turner(25764714),50000.0,251.03
Fred VanVleet(25764723),OG Anunoby(25764701),Lauri Markkanen(25764636),Chris Boucher(25765003),Aleksej Pokusevski(25765073),Seth Curry(25765220),Julius Randle(25764662),Myles Turner(25764714),49900.0,248.45
Cole Anthony(25764885),Immanuel Quickley(25765089),OG Anunoby(25764701),John Collins(25764866),Johhny (25764556),Ayo Dosunmu(25765217),Cameron Johnson(25764877),CJ McCollum(25764689),50000.0,250.81
Fred VanVleet(25764723),Immanuel Quickley(25765089),Andrew Wiggins(25764736),Larry Nance Jr.(25765151),Thomas Bryant(25765402),Shai Gilgeous-Alexander(25764576),Lauri Markkanen(25764636),Cameron Payne(25764791),49900.0,246.39
